Subject,Condition,Trial,Segment,Duration,VerticalSize,HorizontalSize,AbsoluteSize,AverageAbsoluteVelocity,AverageNormalizedJerkPerTrial,AveragePenPressure
2,DNM,4,19,0.0546,0.1172,0.4194,0.4354,8.025,21.352,587
2,DNM,4,20,0.0776,-0.4826,-0.8852,1.0082,12.8537,21.352,216.875
2,DNM,4,21,0.0765,0.57,1.1459,1.2798,17.2078,21.352,660.8
2,DNM,4,22,0.0663,-0.3513,-0.703,0.7859,12.4826,21.352,121.154
2,DNM,4,23,0.1917,0.4809,0.7643,0.9031,5.427,21.352,76.3333
2,DNM,4,24,0.0629,-0.2355,0.1011,0.2563,4.6541,21.352,443.833
2,DNM,4,25,0.0728,0.1183,0.3057,0.3278,4.3903,21.352,435.8
2,DNM,4,26,0.0707,-0.0649,-0.016,0.0669,1.626,21.352,331.857
2,DNM,4,27,0.1745,0.3286,0.5834,0.6696,7.9679,21.352,427.943
2,DNM,4,28,0.0843,-0.5269,-0.9028,1.0453,14.4333,21.352,478.353
2,DNM,4,29,0.0714,0.578,1.9099,1.9954,28.4654,21.352,586.286
2,DNM,4,30,0.0761,-0.7903,-1.5636,1.7519,24.5336,21.352,177.067
2,DNM,5,1,0.142,-0.1287,-0.1422,0.1918,1.5011,53.3824,356.793
2,DNM,5,2,0.096,0.0689,-0.0569,0.0893,1.0723,53.3824,390.684
2,DNM,5,3,0.2758,-0.6357,0.0992,0.6433,2.3553,53.3824,436.909
2,DNM,5,4,0.3612,0.4232,0.0794,0.4305,1.7137,53.3824,165.644
2,DNM,5,5,0.3533,-0.1881,0.1477,0.2391,0.9529,53.3824,124.8
2,DNM,5,6,0.2812,0.1041,-0.0763,0.1291,0.511,53.3824,56.1786
2,DNM,5,7,0.4209,-0.1351,0.0717,0.153,0.7826,53.3824,317.082
2,DNM,5,8,0.15,0.103,0.0303,0.1074,0.75,53.3824,11.5
2,DNM,5,9,0.1302,-0.0904,0.0181,0.0922,0.7182,53.3824,284.077
2,DNM,5,10,0.1158,0.1025,0.058,0.1178,1.1859,53.3824,287.304
2,DNM,5,11,0.1628,-0.1246,0.0842,0.1504,0.9986,53.3824,316.781
2,DNM,5,12,0.1523,0.1058,0.031,0.1102,0.7539,53.3824,40.6452
2,DNM,5,13,0.2398,-0.1129,0.0574,0.1266,0.8381,53.3824,389.5
2,DNM,5,14,0.2434,0.0974,0.1383,0.1692,1.0173,53.3824,297.188
2,DNM,5,15,0.1407,-0.1176,0.0526,0.1288,0.9116,53.3824,422.448
2,DNM,5,16,0.1754,0.1406,0.1341,0.1942,1.3563,53.3824,111.686
2,DNM,5,17,0.284,-0.1309,0.0941,0.1613,1.6294,53.3824,471.143
2,DNM,5,18,0.1703,0.296,-0.2989,0.4207,2.6518,53.3824,168.086
2,DNM,5,19,0.06,-0.0159,-0.0197,0.0253,0.5786,53.3824,403.667
2,DNM,5,20,0.1555,0.2671,0.2242,0.3488,5.1253,53.3824,0
2,DNM,5,21,0.1473,-0.4562,0.5036,0.6795,6.2124,53.3824,0
2,DNM,5,22,0.4364,0.4599,-0.1987,0.501,1.4332,53.3824,2.8046
2,DNM,5,23,0.1502,-0.5265,0.1413,0.5451,3.7121,53.3824,327.233
2,DNM,5,24,0.1504,0.6104,0.1003,0.6186,4.646,53.3824,301.258
2,DNM,5,25,0.1391,-0.526,0.1976,0.5618,4.4575,53.3824,459.778
2,DNM,5,26,0.1159,0.5471,0.0475,0.5491,4.8362,53.3824,506.25
2,DNM,5,27,0.1707,-0.9477,0.3625,1.0146,6.0837,53.3824,548.735
2,DNM,5,28,0.3249,0.4441,-0.1346,0.464,1.5014,53.3824,33.8462
2,DNM,5,29,0.1577,-0.0614,0.0695,0.0927,0.7025,53.3824,269.065
2,DNM,5,30,0.119,0.098,-0.0357,0.1044,1.6549,53.3824,298.708
2,DWM,1,1,0.3395,0.0185,0.154,0.1551,0.4618,639.678,311.559
2,DWM,1,2,1.8923,-0.468,-0.1246,0.4843,0.3172,639.678,419.995
2,DWM,1,3,0.4421,0.1732,-0.0941,0.1971,0.7449,639.678,685.239
2,DWM,1,4,0.0902,-0.0019,0.0051,0.0054,0.0853,639.678,675.778
2,DWM,1,5,1.8036,0.114,0.3798,0.3966,0.2427,639.678,282.305
2,DWM,1,6,0.6648,-0.2343,0.0626,0.2425,0.4063,639.678,11.6617
2,DWM,1,7,0.6468,0.1667,0.0089,0.1669,0.3729,639.678,80.9457
2,DWM,1,8,1.3836,-0.1461,0.1144,0.1856,0.2555,639.678,344.368
2,DWM,1,9,0.8722,0.1234,0.0115,0.124,0.168,639.678,494.218
2,DWM,1,10,1.4951,-0.1325,0.1151,0.1755,0.1308,639.678,431.47
2,DWM,1,11,0.6268,0.1464,0.0237,0.1483,0.273,639.678,491.544
2,DWM,1,12,0.7096,-0.0987,0.0355,0.1049,0.1581,639.678,484.042
2,DWM,1,13,0.3635,0.1033,0.0951,0.1404,0.5246,639.678,521.903
2,DWM,1,14,1.9207,-0.1638,0.1687,0.2352,0.1422,639.678,499.94
2,DWM,1,15,0.8599,0.1578,-0.021,0.1592,0.2148,639.678,597.68
2,DWM,1,16,0.1954,-8.00E-04,0.0139,0.0139,0.1063,639.678,632.282
2,DWM,1,17,0.9888,0.0322,0.2012,0.2037,0.2184,639.678,559.34
2,DWM,1,18,0.3003,-0.0701,-0.0136,0.0714,0.2465,639.678,553.283
2,DWM,2,1,0.0442,-0.0069,0.0137,0.0154,0.3881,80.6818,574.667
2,DWM,2,2,0.2127,0.1369,0.0595,0.1493,0.7433,80.6818,569
2,DWM,2,3,0.4014,-0.0996,0.0105,0.1002,0.2595,80.6818,543.9
2,DWM,2,4,0.1971,5.00E-04,-7.00E-04,9.00E-04,0.0246,80.6818,539.7
2,DWM,2,5,0.1807,-0.0253,0.0698,0.0743,0.441,80.6818,528.167
2,DWM,2,6,0.2921,0.1469,-0.0374,0.1515,0.921,80.6818,526.776
2,DWM,2,7,0.1767,-0.0716,0.0257,0.0761,0.8528,80.6818,530.286
2,DWM,3,1,1.5132,-0.4229,-0.1371,0.4445,0.3751,37.055,331.099
2,DWM,3,2,0.3409,0.2221,-0.1357,0.2603,1.0436,37.055,627.897
2,DWM,3,3,0.1061,-0.0522,0.0651,0.0834,0.8151,37.055,571.273
2,DWM,3,4,0.3038,0.1068,0.2431,0.2655,1.0618,37.055,301.95
2,DWM,3,5,0.2856,-0.1685,0.2551,0.3057,1.3461,37.055,0
